PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-09-13,09:52:46.05,"Rickman, Sam",1000497645,Right,,,,,,,Warmup,,60.37053,1.05277755,4.457580976,1298.30136,166.6201807,11:30,7.14016,-2.41739,4.07939,-68.31553,14.95561,-3.58534,2.46103,1.57166,55.21239,-11.30596166,3.803065078,0.656778069,3.22841,7.25986,1.92067,50,7.18787,-6.70079,-87.25499,-0.32247,2.45698,13.74715,-26.64894,4fe7a115-a0b4-47ac-ac37-d3025e7f7af2,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,57.38992,Pitching,25410021,,,,,,,,,,,,,,,,,,,159.7187404,-35.74044968,1053.794026,0.8116713561,11:15,c3a25956-7352-4515-a37e-5b39c55e96d2,97ec3e98-4493-468c-a091-f7a435a5e9c5
2,2026-09-13,09:54:01.02,"Rickman, Sam",1000497645,Right,,,,,,,Warmup,,55.02483,3.71631168,5.462401098,1529.334194,144.8027946,10:45,7.5318,-3.0352,4.05342,-83.51711,17.35334,-12.38377,4.16263,1.19503,50.21618,-11.39617127,3.206189233,0.7228586394,7.97801,7.63841,2.43177,50,7.86528,-7.26035,-79.26351,3.01804,5.01919,11.18108,-27.36851,a2624322-690b-460f-81d4-a6459dbffe8c,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,52.14358,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-29.56749577,1330.176657,0.8697750057,,c086b2c8-d836-4cb7-8b6e-702d23bbe78f,97ec3e98-4493-468c-a091-f7a435a5e9c5
3,2026-09-13,09:54:48.12,"Rickman, Sam",1000497645,Right,,,,,,,Warmup,,69.28756,1.100525522,0.9760154777,1350.497781,146.8938592,11:00,6.76616,-2.87704,4.72356,-47.99898,13.38326,-8.76139,3.81064,-2.68109,62.76845,-7.762606673,-0.6505539521,0.5638878908,4.86048,6.59973,2.78615,50,6.83604,-1.45035,-100.53646,0.4939,4.90588,18.40321,-25.51267,53f319ad-662c-4206-837d-06a7a736aacc,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,66.84385,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-31.81809505,1147.553386,0.8497262284,,ac261cdd-d7f6-4642-9917-3211dc5b684f,97ec3e98-4493-468c-a091-f7a435a5e9c5
4,2026-09-13,09:55:56.20,"Rickman, Sam",1000497645,Right,,,,,,,Warmup,,58.07696,1.888158937,2.0301774,1454.560205,151.2610569,11:00,7.39219,-2.71378,4.63275,-69.9034,17.52395,-9.65656,3.36304,-1.58837,53.28389,-10.90228922,0.2454188413,0.6729690023,5.60966,8.48542,2.51437,50,7.52392,-2.73921,-84.22081,0.99556,3.99307,12.39487,-26.13395,3201296b-521a-4479-9b81-8d1519dcab87,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,56.00918,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-31.21820652,1243.939316,0.8551996068,,7852fb66-54b4-40f1-b327-4cf0a9202b68,97ec3e98-4493-468c-a091-f7a435a5e9c5
5,2026-09-13,09:57:09.14,"Rickman, Sam",1000497645,Right,,,,,,,Warmup,,74.46206,-1.349417741,3.462816478,1461.888686,157.6164107,11:15,6.67351,-2.45995,5.06173,-41.43729,11.26712,-4.66279,1.94557,0.42031,67.57832,-9.011824342,2.593853539,0.5225103448,3.56698,6.35793,2.13453,50,6.51341,-6.38691,-107.90749,-3.81477,4.14239,21.41636,-24.79049,77f57303-90aa-4832-b2f7-e5d14985ee05,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,72.13721,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-40.48847493,1111.819832,0.760536587,,61b122cf-f3e3-4c9f-b301-14ab69ba6a8c,97ec3e98-4493-468c-a091-f7a435a5e9c5
6,2026-09-13,10:02:16.58,"Rickman, Sam",1000497645,Right,,,,,,Sinker,Live,,88.76396,-2.240836122,-2.6075657,2143.789089,241.6336087,2:00,6.19883,1.71303,5.35239,-27.24128,9.19178,17.02844,1.82411,0.68511,80.70778,-7.304381179,0.578784055,0.4344293995,-9.81811,5.55268,-1.49055,50,5.97821,5.26782,-128.80375,-6.00222,-16.35326,28.884,-22.92539,6879f4e9-0290-423c-baef-da58907b2e61,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,86.76309,Pitching,25410021,,,,,,,,,,,,,,,,,,,208.4000041,39.66263085,1650.323152,0.7698160052,1:00,2f79bffb-68b0-4e37-a934-9e71ac23b0bb,97ec3e98-4493-468c-a091-f7a435a5e9c5
7,2026-09-13,10:02:37.90,"Rickman, Sam",1000497645,Right,,,,,,Sinker,Live,,87.53005,-1.466378865,-0.9907411845,2080.172405,234.7771289,1:45,6.2826,1.76369,5.33948,-26.62518,11.01635,15.63532,2.68789,2.13724,79.01885,-6.438546622,1.946127698,0.4415755232,-8.62323,6.32529,-1.68537,50,6.13195,1.65823,-127.10661,-4.17361,-13.88197,29.93655,-21.99139,d327553b-b346-4c97-b8a5-5974bb32080c,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,85.35899,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,ca909a5f-3922-48b5-8c12-7134dc0cb622,97ec3e98-4493-468c-a091-f7a435a5e9c5
8,2026-09-13,10:02:55.35,"Rickman, Sam",1000497645,Right,,,,,,ChangeUp,Live,,82.55035,,,1432.863942,,,5.75195,2.28295,5.1439,,,,2.00932,1.16126,74.80232,-8.366885204,0.5638636086,0.4701111404,-10.27266,-1.30902,-2.03763,50,5.7201,5.18631,-119.75948,-1.47323,-14.69513,26.36771,-34.04661,f4a5c749-8d18-4081-ab12-ef16ff7a9f8f,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,80.17772,Pitching,25410021,,,,,,,,,,,,,,,,,,,,23.98519491,1309.136896,0.9136505269,,441d4dc7-bd90-44c2-9252-d1500d7264f6,97ec3e98-4493-468c-a091-f7a435a5e9c5
9,2026-09-13,10:03:11.62,"Rickman, Sam",1000497645,Right,,,,,,ChangeUp,Live,,83.10834,-0.4395397095,-1.887504698,1404.664989,286.4697703,3:30,5.75954,2.00993,5.16355,-45.47265,-3.72473,12.49821,1.55629,1.27456,75.95199,-8.85200005,0.4435278273,0.4650384108,-7.15096,-1.82889,-1.84343,50,5.68467,3.55425,-120.71009,-2.46833,-10.46517,25.28042,-34.85056,61d5bfad-1f41-488c-be44-521d60267605,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,81.05231,Pitching,25410021,,,,,,,,,,,,,,,,,,,,32.37705624,1186.299178,0.8445424265,,4117dbd3-f8fc-40a1-b94c-ab4dacd169d9,97ec3e98-4493-468c-a091-f7a435a5e9c5
10,2026-09-13,10:03:27.34,"Rickman, Sam",1000497645,Right,,,,,,Slider,Live,,78.33738,-0.989568734,-2.943401098,2556.89017,75.26057596,8:30,6.19601,1.75118,4.62695,-50.54919,-2.50223,-9.33839,1.04174,-1.82695,71.9921,-10.189328,-4.66138459,0.4988894912,3.9391,-0.99482,-1.441,50,6.04968,6.16146,-113.57666,-3.70556,5.10452,22.34306,-33.46319,2e549310-0695-4e3e-806a-922291afafb9,4e4f1dc2-64b0-4ee8-9cda-b91ff3a7d7d3,75.55268,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,595b8d44-ad64-4219-a0de-d74ab4d04017,97ec3e98-4493-468c-a091-f7a435a5e9c5
