PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-09-09,17:06:24.22,"Bussard, Jack",824655,Left,,,,,,Fastball,Live,,86.11832,-2.231089527,-0.6071699652,2066.15823,157.9481419,11:15,6.69272,-0.95661,5.92323,-19.82546,17.85195,-7.24031,2.96944,-2.12332,78.50383,-5.951558145,-1.973825323,0.4417860086,3.73627,10.30876,1.00919,50,6.50324,1.5522,-125.23557,-5.49554,5.90081,26.60476,-15.89308,a1334a5c-46ff-4e46-8d47-ef241bf06052,77efd153-385b-4204-9208-f0cbc0ca3cd3,85.31832,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-6.386504855,2053.335955,0.9937941464,,0765550a-25c9-49ce-b44d-08f90efcdd33,3ac21d51-9806-43df-8dc6-220a75943ac6
2,2026-09-09,17:06:40.94,"Bussard, Jack",824655,Left,,,,,,Fastball,Live,,86.90201,-4.145882309,-0.04383260451,2104.39256,164.7369202,11:30,6.55676,-0.86273,5.90344,-19.04185,18.0352,-4.917,1.11524,-1.31316,79.52023,-7.695780768,-0.9708479576,0.4382520574,2.64246,10.92817,0.86905,50,6.21279,0.25134,-126.1654,-9.74477,4.2466,26.37773,-14.61178,848a69b4-8374-4883-b783-18f1664d5d9c,77efd153-385b-4204-9208-f0cbc0ca3cd3,86.0063,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,e5a46bec-62f1-412b-8d90-e29bfab871de,3ac21d51-9806-43df-8dc6-220a75943ac6
3,2026-09-09,17:06:58.67,"Bussard, Jack",824655,Left,,,,,,Fastball,Live,,86.08174,-3.254384165,0.847621267,2098.043416,151.9523329,11:00,6.67756,-0.79382,5.91641,-20.50952,17.31678,-9.22477,1.94506,-0.77598,78.45728,-7.096002762,-0.8952007866,0.4426580392,5.23991,10.33194,0.73126,50,6.40536,-1.56383,-125.05768,-7.74838,8.24275,26.79368,-15.92117,d4b1414b-e391-4201-aa86-8c2904e8ac28,77efd153-385b-4204-9208-f0cbc0ca3cd3,85.15024,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-4.533195503,2091.480127,0.9968717095,,a52dbf43-3930-4baa-9ea0-6512444c19ce,3ac21d51-9806-43df-8dc6-220a75943ac6
4,2026-09-09,17:07:15.22,"Bussard, Jack",824655,Left,,,,,,Fastball,Live,,87.82931,-2.57490052,0.9804470367,2107.60756,151.214775,11:00,6.66254,-0.71084,5.93176,-19.5474,16.5286,-9.08596,2.64304,-0.55841,80.41234,-6.235081466,-0.7314818137,0.4322953237,5.18255,9.64962,0.63782,50,6.44607,-1.89717,-127.72475,-6.36577,8.55598,26.4553,-16.24328,e52e70d5-34ae-4aae-94f1-b9b35c9a71f6,77efd153-385b-4204-9208-f0cbc0ca3cd3,87.19141,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-6.929170436,2092.213698,0.9926960492,,ba6eb3f2-369b-4096-8569-d278696b2198,3ac21d51-9806-43df-8dc6-220a75943ac6
5,2026-09-09,17:07:32.48,"Bussard, Jack",824655,Left,,,,,,Fastball,Live,,87.09794,-3.55614402,-0.2681023406,2068.806933,146.9398449,11:00,6.6478,-0.69168,5.88441,-19.89493,17.0468,-11.09665,1.68382,-1.86533,79.60672,-7.268284974,-2.360037807,0.4374516027,5.91205,10.23903,0.71965,50,6.3496,0.94314,-126.51804,-8.49222,9.53856,26.9199,-15.65431,0db48cb6-182f-4f58-b520-734ad9595ccd,77efd153-385b-4204-9208-f0cbc0ca3cd3,86.16368,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,911a562d-4cde-4cba-8b6d-321ca440865b,3ac21d51-9806-43df-8dc6-220a75943ac6
6,2026-09-09,17:07:50.28,"Bussard, Jack",824655,Left,,,,,,Splitter,Live,,79.48889,-3.215807428,2.312206571,1122.636515,111.4603313,9:45,6.45413,-1.12129,5.78796,-41.18367,3.59569,-9.18181,0.02537,0.26545,72.90412,-10.86555298,0.5796984361,0.4816264408,5.65632,2.92614,0.93653,50,6.16477,-4.38928,-115.35082,-7.68977,7.54463,23.46551,-28.27105,b6e2884b-41db-4fe5-91e4-892ea39ad5cb,77efd153-385b-4204-9208-f0cbc0ca3cd3,78.26073,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,3b6fd65b-501b-4508-aa01-b88c2705bcae,3ac21d51-9806-43df-8dc6-220a75943ac6
7,2026-09-09,17:08:07.35,"Bussard, Jack",824655,Left,,,,,,Splitter,Live,,78.52826,-0.8354669252,0.813587426,987.367914,164.2630839,11:30,6.49598,-1.10951,5.82239,-34.16823,11.93305,-3.37314,2.87189,-0.63428,70.67695,-7.289560794,0.1725853464,0.4886837353,2.10214,6.7395,1.04506,50,6.40794,-1.52458,-114.12152,-2.63711,2.7124,25.23035,-23.47802,5f75e1fd-74fc-4a8d-b9f7-480aee8dd3f6,77efd153-385b-4204-9208-f0cbc0ca3cd3,77.13054,Pitching,25410021,,,,,,,,,,,,,,,,,,,,-18.94642162,933.8748946,0.9458226071,,af085e7e-3381-414f-aef1-924ea624e896,3ac21d51-9806-43df-8dc6-220a75943ac6
8,2026-09-09,17:08:25.07,"Bussard, Jack",824655,Left,,,,,,Splitter,Live,,78.30959,-1.134282859,0.9576035165,989.898978,119.8033772,10:00,6.46185,-1.1581,5.64344,-41.962,4.63784,-8.1597,1.90681,-0.94486,70.91017,-8.999479615,-0.5862771104,0.4913190487,4.70318,2.87058,1.08203,50,6.33956,-1.66231,-113.76917,-3.48365,6.04535,24.62672,-28.48427,4431bba5-fd5c-4698-b154-fc73a3215747,77efd153-385b-4204-9208-f0cbc0ca3cd3,76.71683,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,22f74e18-c449-4189-90a6-30055f350a5c,3ac21d51-9806-43df-8dc6-220a75943ac6
9,2026-09-09,17:08:47.59,"Bussard, Jack",824655,Left,,,,,,Curveball,Live,,72.64669,3.238706813,-1.256701464,1989.723313,316.1877739,4:30,6.52583,-1.0006,5.56425,-59.28528,-5.51563,5.23519,4.6145,-1.73836,66.38565,-7.828909343,-0.2748568927,0.5277642646,-3.16091,-3.89028,1.10544,50,6.76662,2.16796,-105.479,4.31742,-3.5439,18.75025,-36.53569,71508d9f-25bd-4d64-a8e7-564f0f9d3a96,77efd153-385b-4204-9208-f0cbc0ca3cd3,71.41908,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,0ee30957-8926-48e3-8bd4-8a572194be49,3ac21d51-9806-43df-8dc6-220a75943ac6
10,2026-09-09,17:09:19.13,"Bussard, Jack",824655,Left,,,,,,Curveball,Live,,72.85578,1.848174722,-0.3982659386,1801.422289,18.50250635,6:30,6.54209,-0.77765,5.50513,-62.68197,-9.07062,-3.01919,3.04745,-1.40167,66.80806,-9.818355731,-0.9649062261,0.5269868587,1.48913,-5.393,0.81436,50,6.66175,0.82109,-105.8825,1.65022,1.67658,19.47041,-38.24593,a3e21899-9c6d-449f-b463-d0e042144cff,77efd153-385b-4204-9208-f0cbc0ca3cd3,71.52444,Pitching,25410021,,,,,,,,,,,,,,,,,,,346.0268877,-52.16524425,1104.967664,0.6133862507,5:30,21479c71-3706-4903-a4e1-4f413a505d21,3ac21d51-9806-43df-8dc6-220a75943ac6
