PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-09-22,19:00:57.00,"Hoggat, Kyle",1000514767,Right,,,,,,,Warmup,,78.08352,-2.146208211,-6.114414021,1569.220585,264.625471,2:45,5.6753,3.32717,5.8374,,,,,,,,,,-10.47224,1.46069,-2.83724,50,5.47331,11.63701,-112.90051,-5.53487,-13.43946,21.6518,-30.29948,9f3dac50-aafb-4b4d-9689-7e9257158dde,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,,Pitching,25410021,,,,,,,,,,,,,,,,,,,,29.89173433,1360.465057,0.8669686533,,cf4b4270-efbe-4784-9d79-f886632690de,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
2,2026-09-22,19:01:14.17,"Hoggat, Kyle",1000514767,Right,,,,,,,Warmup,,83.94965,-1.887974479,-4.42249976,2204.777883,216.8608655,1:15,5.8378,3.30496,5.35895,-23.66048,17.78373,13.36642,2.08992,0.26384,74.95315,-6.330363102,-1.907934915,0.4633437639,-8.66101,10.12855,-2.91665,50,5.6516,8.95747,-121.46672,-4.78923,-12.62879,29.11975,-17.4054,7b42cd5f-f638-4e6d-bc30-1e7eec8f9738,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,81.34876,Pitching,25410021,,,,,,,,,,,,,,,,,,,216.3366077,26.23599162,1977.643542,0.8969808509,1:15,6db2faf7-57bb-4f4a-9d24-994dab60093a,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
3,2026-09-22,19:01:49.70,"Hoggat, Kyle",1000514767,Right,,,,,,ChangeUp,Live,,79.05317,0.4629340149,-4.317394171,1612.521048,257.6417829,2:30,5.59562,3.6196,5.76188,-41.80852,3.88791,18.01942,2.54363,1.09578,71.22226,-7.415925515,-0.9107822692,0.4865332338,-11.14765,1.94296,-3.27273,50,5.60908,8.12919,-114.59333,-0.28287,-14.55531,24.74524,-29.63715,804fb09f-032f-44fb-b8b2-93a3b971a688,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,77.47146,Pitching,25410021,,,,,,,,,,,,,,,,,,,,25.00334007,1461.400653,0.9062831488,,f1a43cfc-3818-40b0-a21b-422e4a89092a,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
4,2026-09-22,19:02:10.48,"Hoggat, Kyle",1000514767,Right,,,,,,ChangeUp,Live,,78.91472,0.04877572458,-4.504095053,1578.09499,249.2919624,2:15,5.63565,3.37875,5.80665,-39.44527,6.43759,17.1867,2.39404,0.61428,70.95092,-7.396751634,-1.250245066,0.4875247238,-10.80812,3.46227,-3.01919,50,5.61658,8.51634,-114.36066,-1.03213,-14.02508,25.05155,-27.68126,2cac8cca-a2da-4284-942a-edf955da4b6b,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,77.3139,Pitching,25410021,,,,,,,,,,,,,,,,,,,,26.57575612,1411.359186,0.8943436196,,7ff233a6-3b8a-4c24-94d0-a47c4ce44c6a,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
5,2026-09-22,19:02:31.83,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,85.87387,-0.4676615107,-2.493103232,2180.989458,224.8213105,1:30,5.89033,3.2493,5.18767,-23.55557,16.08427,16.02609,3.48704,2.23823,76.67504,-4.886421768,0.5195346593,0.4531451838,-9.34268,8.67223,-3.02977,50,5.82973,4.87039,-124.5344,-1.82863,-14.33192,30.41306,-18.87062,afdac0d0-84f0-46fc-b207-91f649886fd4,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,83.17961,Pitching,25410021,,,,,,,,,,,,,,,,,,,,30.02719131,1888.274539,0.8657880173,,53025cfd-4178-41b2-a832-ac5152926bd3,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
6,2026-09-22,19:02:52.46,"Hoggat, Kyle",1000514767,Right,,,,,,ChangeUp,Live,,79.65146,-0.4138387184,-3.512303958,1665.182134,246.9576836,2:15,5.88649,3.41864,5.76638,-37.01856,7.90288,18.6831,2.41579,1.70315,71.81137,-7.389393788,0.02424052513,0.4823899273,-11.24084,4.39963,-3.1393,50,5.83021,6.54814,-115.57263,-1.9172,-14.92745,25.18922,-26.33149,d471aba5-6b15-4ed1-86f5-578d64223caa,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,78.13687,Pitching,25410021,,,,,,,,,,,,,,,,,,,,24.67918314,1513.084295,0.9086599381,,f48838b5-a460-4848-979e-6ab1c3299b22,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
7,2026-09-22,19:03:26.86,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,84.81007,-2.027110118,-4.34846656,2158.305597,221.7803669,1:30,5.74772,3.2769,5.30549,-25.47397,15.09547,13.5159,1.716,0.31399,76.02212,-6.793542724,-1.812028337,0.4584277697,-8.65261,8.70428,-2.8915,50,5.54547,8.88133,-122.73146,-5.20717,-12.92364,28.99365,-19.17324,44ceadf4-e374-4ef9-a378-c3d62ec89670,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,82.22111,Pitching,25410021,,,,,,,,,,,,,,,,,,,,24.2149859,1968.402478,0.9120128683,,d355f5d7-e723-4b2d-a817-1e2174717f7f,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
8,2026-09-22,19:03:44.71,"Hoggat, Kyle",1000514767,Right,,,,,,ChangeUp,Live,,81.24217,-0.4648809448,-3.650572823,1616.166191,263.6123212,2:45,5.55244,3.42128,5.60176,-40.99387,2.17119,19.66429,1.70147,1.64788,73.89263,-8.127104914,0.0458611226,0.4728654492,-11.64922,1.30538,-3.12138,50,5.48649,6.91546,-117.89279,-2.22226,-16.22532,24.57799,-30.35588,4da040f9-2eda-4a2a-99d6-16afb655ebff,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,79.71071,Pitching,25410021,,,,,,,,,,,,,,,,,,,,25.88816374,1453.980673,0.899647995,,230bca28-a2f5-46af-87b5-ea73860eb069,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
9,2026-09-22,19:04:03.51,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,85.03788,-2.513209213,-4.096356131,2086.443668,217.9043924,1:15,5.89878,3.20701,5.30306,-22.77113,17.4165,13.57512,1.63468,0.48679,76.55057,-6.763310646,-1.553729951,0.4562654605,-8.53301,10.0557,-2.84451,50,5.65407,8.35971,-123.1024,-6.1828,-12.88234,28.12407,-16.99289,99956f83-e94c-41c1-84da-08c681d8ab2e,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,82.61077,Pitching,25410021,,,,,,,,,,,,,,,,,,,,29.7840471,1810.832373,0.8679037925,,56254b00-3a9f-44a7-a752-65a92314f01a,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
10,2026-09-22,19:04:22.37,"Hoggat, Kyle",1000514767,Right,,,,,,ChangeUp,Live,,80.37201,1.124933174,-3.2293458,1532.298061,252.0748722,2:30,5.76441,3.513,5.58077,-38.45351,5.56787,17.40998,3.61219,1.94516,72.95883,-6.076987021,0.03916830305,0.477532809,-10.2777,2.63643,-3.24673,50,5.83638,6.04925,-116.67886,1.1152,-14.05539,23.58815,-28.56856,6eed6cb8-e99e-4941-9b13-771519549c78,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,78.93162,Pitching,25410021,,,,,,,,,,,,,,,,,,,,28.00926097,1352.822591,0.8828716986,,0cd47d01-70cb-4160-a61c-6f718196885c,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
11,2026-09-22,19:04:41.42,"Hoggat, Kyle",1000514767,Right,,,,,,ChangeUp,Live,,80.03252,-0.6878802017,-3.545762847,1612.486978,251.4418195,2:30,5.70592,3.40994,5.7033,-38.37673,5.81637,17.42815,1.86575,1.55471,72.94509,-7.866618489,-0.2681464615,0.478463308,-10.42093,3.32894,-3.12351,50,5.62463,6.678,-116.18815,-2.54607,-14.13483,23.34494,-27.65871,53608946-102a-4d08-aba8-40771a90a6a6,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,78.77812,Pitching,25410021,,,,,,,,,,,,,,,,,,,,26.25898291,1446.083784,0.8968033879,,7dbdd2f3-01ae-45ec-b8ff-c9449461cc3f,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
12,2026-09-22,19:05:00.77,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,85.65833,-2.390163828,-4.796748876,2064.13506,229.8874013,1:45,5.81939,3.21359,5.37011,-24.24658,15.11146,17.94932,1.54901,0.20212,77.51477,-6.908939586,-1.443196287,0.4515316074,-11.0055,8.75863,-2.79567,50,5.58776,9.79825,-123.96516,-6.00888,-16.95082,27.1438,-18.6839,31aa2ef8-3622-4c15-856f-50184cea2a91,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,83.47686,Pitching,25410021,,,,,,,,,,,,,,,,,,,,27.13236839,1836.987956,0.8899553093,,b9e8a6b9-f58c-437c-b5fc-35bce1af9433,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
13,2026-09-22,19:05:32.30,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,85.18143,-2.573203888,-5.722796634,2056.897254,220.1245247,1:15,5.89814,3.30124,5.26634,-22.61296,17.59465,14.86022,1.58307,-0.85355,76.7662,-6.78458818,-2.954446193,0.4563788655,-9.68454,10.13199,-2.78754,50,5.6456,11.82531,-123.0222,-6.32243,-14.64285,27.45821,-16.85467,97f89327-c0e0-41b1-b03a-969f9b744270,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,82.59024,Pitching,25410021,,,,,,,,,,,,,,,,,,,218.5700821,32.82141517,1728.542554,0.8403640731,1:15,754218fe-8d9d-40ab-992a-343c0e1eec3f,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
14,2026-09-22,19:06:06.50,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,84.17948,-1.684193669,-4.669623419,2104.621762,217.8077704,1:15,5.9118,3.25553,5.38475,-22.9469,18.09689,14.0824,2.41543,0.04301,75.39666,-5.988426075,-2.025653856,0.4610999913,-9.07154,10.20262,-2.84746,50,5.74524,9.48872,-121.81398,-4.34515,-13.35807,28.39006,-17.15044,16feb6c4-0a58-4444-a421-8f27550dda05,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,81.74461,Pitching,25410021,,,,,,,,,,,,,,,,,,,,25.54877119,1898.828687,0.9022184986,,d0418521-5572-4280-bd7d-99c66c66bc35,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
15,2026-09-22,19:06:53.93,"Johnson, Tate",1000512540,Right,,,,,,,Warmup,,83.1058,-0.8423596185,-1.297467609,2205.523028,189.4540125,12:15,5.99983,1.55581,6.17926,-26.35358,13.81021,2.30543,3.02567,0.54973,75.48079,-5.831980367,-0.8593257944,0.456130089,-1.65626,7.80129,-1.45914,50,5.92294,2.6732,-120.92924,-2.5297,-2.42898,25.70382,-20.73307,5dfc10dd-a1eb-430a-b3f8-f579c51a1f23,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,82.63528,Pitching,25410021,,,,,,,,,,,,,,,,,,,214.9397679,38.74340945,1720.211969,0.779956476,1:15,35395b0b-fe95-475d-ba57-1e21f266a778,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
16,2026-09-22,19:07:07.51,"Johnson, Tate",1000512540,Right,,,,,,,Warmup,,79.52331,-3.266474035,-2.559733846,1742.483818,231.3520606,1:45,6.03535,1.56735,6.42355,-35.92996,7.73069,9.67609,0.03283,0.01956,72.79455,-10.03159881,-0.7131992276,0.4755722608,-6.1205,5.26722,-1.38957,50,5.78618,4.91281,-115.5001,-7.52932,-8.1836,23.55802,-25.13135,fa073b76-8833-47ed-9f4b-994af9845823,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,79.25702,Pitching,25410021,,,,,,,,,,,,,,,,,,,,39.5244088,1344.071053,0.7713535352,,3f897097-5e9d-4f51-8fdd-8eab341b1873,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
17,2026-09-22,19:07:25.32,"Johnson, Tate",1000512540,Right,,,,,,,Warmup,,71.85161,0.9782062903,-1.004361873,2150.430971,70.85660217,8:15,6.0408,1.46208,5.39159,-58.77847,-2.93971,-8.34174,2.05948,-0.17432,65.35382,-9.975645244,-2.573244349,0.5378228841,4.10721,-1.88848,-1.36685,50,6.08784,2.06351,-104.35053,0.13237,4.44651,20.53252,-34.21854,75bf5898-6dba-4b26-b22c-cf3bb595d21e,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,70.08337,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,5c13c6b8-423e-4e75-927c-6edd5b729761,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
18,2026-09-22,19:07:39.40,"Johnson, Tate",1000512540,Right,,,,,,,Warmup,,70.43516,2.264524091,-1.711834736,2146.127291,60.11500672,8:00,6.09105,1.10088,5.51034,-65.08531,-7.50394,-12.99647,2.78666,-1.58321,64.52691,-9.845486159,-4.148485464,0.5461505522,6.40229,-4.70749,-0.94323,50,6.24552,3.40918,-102.27314,2.28012,6.70499,18.63367,-37.10412,cbe3f9c5-5047-4cd8-8ddf-948064f68a7a,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,69.01474,Pitching,25410021,,,,,,,,,,,,,,,,,,,26.36744909,48.89418664,1410.975038,0.6574517007,7:00,792bfa82-6347-40fe-8908-3a24198e6944,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
19,2026-09-22,19:07:55.36,"Johnson, Tate",1000512540,Right,,,,,,,Warmup,,84.08835,-3.579253011,-3.196971503,2234.352287,191.2288658,12:15,6.10852,1.40564,6.37765,-22.89531,16.28877,3.23676,0.89872,-1.26847,76.53122,-7.900204031,-2.580859467,0.4505326044,-2.76362,10.06439,-1.17696,50,5.8397,6.72571,-122.01361,-8.27665,-4.12432,26.25727,-17.15435,4027b080-d2a3-4f5f-af26-d8784bad11e9,d0b2fe4e-8c0c-4500-b384-6a21ff9a212a,83.66196,Pitching,25410021,,,,,,,,,,,,,,,,,,,,40.42027903,1701.032208,0.761308867,,f67ec040-137c-4aef-9f1e-6b45d221230c,c6dfbc40-7dce-4232-9b29-2e7fb5281d98
