PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-09-21,18:36:34.42,"Pence, Colin",1000511683,Right,,,,,,Fastball,Live,,86.16609,-1.682064581,-4.499350691,2048.957632,242.5241536,2:00,5.85018,1.87185,5.41387,-28.82149,9.28581,17.88557,1.8675,-0.86085,79.46463,-7.007291751,-1.184592557,0.4442991475,-10.60341,5.33981,-1.48412,50,5.68041,9.22391,-124.99522,-4.66817,-16.92157,23.13825,-23.65244,9634bad0-b9d3-406a-93c7-ea4917dd0c65,d646366c-c175-4c83-9afd-a1ab18523c07,84.83572,Pitching,25410021,,,,,,,,,,,,,,,,,,,,26.1147001,1839.789122,0.8979146731,,817a8887-b8c8-4a47-8d29-2d64af14ce63,c38eda68-21e7-4310-b8e7-a80a53e07454
2,2026-09-21,18:36:48.99,"Pence, Colin",1000511683,Right,,,,,,Fastball,Live,,86.88201,-1.995287485,-3.92706122,2080.014752,243.544221,2:00,5.83581,1.90968,5.2768,-28.62619,9.04055,18.1753,1.57139,-0.26932,80.12392,-7.270232143,-0.5623799454,0.4417234471,-10.57547,5.27166,-1.56442,50,5.63264,8.01393,-126.07101,-5.41133,-17.15453,23.73877,-23.62285,7f073987-0c32-4fe3-93bb-91134ce4863a,d646366c-c175-4c83-9afd-a1ab18523c07,85.3304,Pitching,25410021,,,,,,,,,,,,,,,,,,,,29.40399502,1812.066378,0.8711795802,,1510def1-9240-405d-9c4e-cf32f9f529c2,c38eda68-21e7-4310-b8e7-a80a53e07454
3,2026-09-21,18:37:02.65,"Pence, Colin",1000511683,Right,,,,,,Fastball,Live,,86.55077,-1.318776112,-3.38176897,2077.746547,234.7661211,1:45,5.83238,1.83872,5.21228,-26.44114,11.48046,16.29169,2.38665,0.01311,79.8309,-6.191199461,-0.370119358,0.4432152661,-9.40457,6.36033,-1.53846,50,5.69078,6.84964,-125.71411,-3.83884,-15.19391,23.20881,-21.89839,5b9c47a0-4a3c-4b82-9032-9361cbd11f6b,d646366c-c175-4c83-9afd-a1ab18523c07,85.04319,Pitching,25410021,,,,,,,,,,,,,,,,,,,,26.97071878,1851.767552,0.8912384213,,45de3bb9-725b-4a37-9fd7-518a1e4bd65d,c38eda68-21e7-4310-b8e7-a80a53e07454
4,2026-09-21,18:37:17.94,"Pence, Colin",1000511683,Right,,,,,,ChangeUp,Live,,79.35207,-1.022682275,-2.724756851,1652.517548,253.8424718,2:30,5.67934,2.04088,5.4247,-40.36947,4.31136,14.98026,1.35629,0.73558,73.64053,-8.462520507,0.05652161724,0.4810962988,-8.61033,2.53803,-1.80975,50,5.56075,5.01834,-115.37641,-3.33561,-11.71724,19.54453,-28.72021,37cd80a7-bcbb-49c1-8b60-452f17860f4b,d646366c-c175-4c83-9afd-a1ab18523c07,78.34697,Pitching,25410021,,,,,,,,,,,,,,,,,,,243.3163099,39.74848739,1270.552515,0.768858713,2:00,61372e4c-2840-4451-a574-fd5dbf5fd325,c38eda68-21e7-4310-b8e7-a80a53e07454
5,2026-09-21,18:37:32.03,"Pence, Colin",1000511683,Right,,,,,,ChangeUp,Live,,79.42305,-0.7151608462,-3.823011564,1606.289444,249.3958535,2:15,5.73177,1.94566,5.63662,-38.68534,5.776,15.46103,1.83937,-0.33732,73.32544,-7.892477666,-0.9402357765,0.4799131814,-9.24731,3.26888,-1.63062,50,5.64627,7.23958,-115.36931,-2.61877,-12.53997,20.2285,-27.74123,f61ea010-68f3-4248-85d0-17d7df659d9e,d646366c-c175-4c83-9afd-a1ab18523c07,78.54012,Pitching,25410021,,,,,,,,,,,,,,,,,,,221.426786,30.81292539,1379.552635,0.858844363,1:30,98ca28ba-2d2f-458f-a51e-d1621a28b933,c38eda68-21e7-4310-b8e7-a80a53e07454
6,2026-09-21,18:37:48.26,"Pence, Colin",1000511683,Right,,,,,,ChangeUp,Live,,79.61306,0.2247997963,-2.891175897,1611.806713,252.2562257,2:30,5.61387,2.0156,5.5917,-39.21884,5.08932,16.05071,2.55577,0.65171,73.2971,-7.066207727,0.1051618432,0.4790857863,-9.32367,2.65291,-1.77818,50,5.60774,5.35302,-115.74062,-0.74815,-12.70195,20.72815,-28.5599,f9c18c80-7de5-4769-95a7-de13c24fe7a2,d646366c-c175-4c83-9afd-a1ab18523c07,78.67576,Pitching,25410021,,,,,,,,,,,,,,,,,,,249.1000565,31.1072605,1380.031524,0.8562016228,2:15,897bca9f-d684-45c3-a6a7-cd29d566bac7,c38eda68-21e7-4310-b8e7-a80a53e07454
7,2026-09-21,18:38:55.38,"Pence, Colin",1000511683,Right,,,,,,Slider,Live,,77.99614,-0.8460625041,-3.463589813,1680.336403,335.1797037,5:15,5.59871,2.07619,5.14491,-52.03198,-3.94719,1.81087,0.46473,-1.03744,70.80972,-10.4767011,-3.124926329,0.4990858492,-2.12333,-1.79829,-1.7535,50,5.48084,6.78344,-113.0205,-3.31293,-2.69141,24.44844,-34.45345,7a95166e-ede3-4911-b4d4-d7787c752127,d646366c-c175-4c83-9afd-a1ab18523c07,75.52296,Pitching,25410021,,,,,,,,,,,,,,,,,,,,74.43910033,450.7711896,0.2682624675,,1a2b247a-7466-4335-9051-c659eef35531,c38eda68-21e7-4310-b8e7-a80a53e07454
8,2026-09-21,18:39:09.10,"Pence, Colin",1000511683,Right,,,,,,Slider,Live,,76.55117,-0.04999010638,-3.707089876,1502.973802,13.43395267,6:30,5.76629,2.00975,4.89143,-55.0602,-5.08718,-1.20768,1.13056,-1.60197,70.1083,-10.15231812,-3.930564749,0.5087907218,-0.51165,-2.63945,-1.64547,50,5.71656,7.22747,-110.9464,-1.87983,-0.63122,21.74294,-35.43031,f0b972ed-9f6f-47b4-a4f9-e4a06516e7e1,d646366c-c175-4c83-9afd-a1ab18523c07,74.0824,Pitching,25410021,,,,,,,,,,,,,,,,,,,,66.28653048,604.4404929,0.4021630264,,846080a3-2aea-4fbc-b74f-5aaa67833453,c38eda68-21e7-4310-b8e7-a80a53e07454
9,2026-09-21,18:39:23.34,"Pence, Colin",1000511683,Right,,,,,,Slider,Live,,75.11102,1.132075284,-1.220538221,1537.13107,28.25024637,7:00,5.76764,2.0693,4.69006,-56.7335,-4.73142,-2.51966,2.11493,0.70048,68.75544,-9.274469285,-1.686246249,0.5190172094,0.9393,-2.78903,-1.94336,50,5.83313,2.40559,-109.02979,0.29425,1.12231,20.49326,-35.50647,583e9b09-6af1-4450-9c53-7e53a55ac6f7,d646366c-c175-4c83-9afd-a1ab18523c07,72.62272,Pitching,25410021,,,,,,,,,,,,,,,,,,,,63.39797186,688.3130571,0.4477907387,,e3668ea0-b382-44ad-9196-d801aef3536f,c38eda68-21e7-4310-b8e7-a80a53e07454
10,2026-09-21,18:39:42.57,"Pence, Colin",1000511683,Right,,,,,,Fastball,Live,,86.75685,-0.4304687357,-2.307814937,2088.789308,231.0058026,1:45,5.88979,1.98198,5.35321,-23.81587,13.95049,17.27696,3.50113,1.25641,79.25732,-4.858315365,0.9116506625,0.4423071742,-9.78112,7.50003,-1.78676,50,5.83435,4.48362,-126.09588,-1.77268,-15.75051,25.60395,-20.09677,294d7de6-8384-4a2e-a82e-e933dfdb80fd,d646366c-c175-4c83-9afd-a1ab18523c07,85.21779,Pitching,25410021,,,,,,,,,,,,,,,,,,,216.7808914,26.51419905,1869.098297,0.8948237573,1:15,aa2098c1-cf6c-448d-9327-30d6671c4eb0,c38eda68-21e7-4310-b8e7-a80a53e07454
