PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-09-21,19:09:36.44,"Rodriguez, John",1000616296,Right,,,,,,,Live,,82.45343,,,1969.418163,,,5.19735,2.60768,11.04759,,,,3.90978,-0.2849,75.69285,,,0.4157467614,-12.4305,4.21643,-2.65688,50,5.18659,10.84061,-120.53732,2.42058,-18.27932,23.53534,-25.97369,14576d9d-a5b1-40d9-94b1-ec4b065bc75e,1ba7cfda-704c-4a99-b2db-42590f79c0dc,90.66201,Pitching,25410021,,,,,,,,,,,,,,,,,,,,20.0553225,1849.99647,0.9393619419,,155fdfa7-a4a8-4a05-9f36-9a64bdfa85e9,812b95f8-0936-47e4-9968-6b91dd79e813
2,2026-09-21,19:10:08.88,"Rodriguez, John",1000616296,Right,,,,,,Slider,Warmup,,72.04133,1.139408365,-4.865586968,1937.689529,100.3378828,9:15,5.37058,2.78307,4.50144,-56.19748,0.62465,-3.66274,1.77694,-2.16835,66.55173,-9.047049367,-5.531988395,0.5425379815,0.55521,0.01001,-2.26915,50,5.43816,8.99526,-104.27624,0.25995,0.61269,17.16575,-32.163,a883a265-38c0-4c22-acd4-540a6cbbac38,1ba7cfda-704c-4a99-b2db-42590f79c0dc,69.47429,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,496c7d56-a26a-4a48-9e0b-32cea01091e6,812b95f8-0936-47e4-9968-6b91dd79e813
3,2026-09-21,19:10:19.59,"Rodriguez, John",1000616296,Right,,,,,,Slider,Warmup,,71.2418,0.6062248552,-3.862505541,1992.961875,63.32918027,8:00,5.21408,2.65967,4.2696,-61.45173,-2.18458,-4.26617,0.6744,-1.39654,65.13163,-10.55088451,-4.643664227,0.5540875995,0.95952,-1.30818,-2.23493,50,5.21992,7.0994,-103.0906,-0.91122,1.01925,19.20591,-33.56366,7d721689-fdbf-4cbe-9e16-44b6e1217ec4,1ba7cfda-704c-4a99-b2db-42590f79c0dc,68.02614,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,7237a47a-48e0-4342-8fed-d7be46be0312,812b95f8-0936-47e4-9968-6b91dd79e813
4,2026-09-21,19:10:29.41,"Rodriguez, John",1000616296,Right,,,,,,,Warmup,,72.27028,0.5335301892,-5.931272128,1982.388501,54.53603206,7:45,5.2984,2.67615,4.81369,-57.06429,-0.64383,-0.84339,1.05111,-3.03216,66.35741,-9.880215234,-6.085814193,0.5406170113,-1.3284,-0.49399,-2.08482,50,5.30385,10.87375,-104.41353,-0.78569,-1.45692,18.65274,-32.71583,f6412f7a-109e-411e-bd0a-0b479eb983d2,1ba7cfda-704c-4a99-b2db-42590f79c0dc,69.72115,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,f960237a-e6d9-4b0b-bf1b-bf7b7184759a,812b95f8-0936-47e4-9968-6b91dd79e813
5,2026-09-21,19:10:56.71,"Rodriguez, John",1000616296,Right,,,,,,Slider,Warmup,,71.22629,1.412239999,-4.466031552,2019.480391,119.927631,10:00,5.23137,2.90348,4.56073,-56.82341,1.42445,-2.55729,1.84431,-1.56802,65.39427,-8.941335847,-4.933834589,0.5493022934,0.02822,0.32553,-2.43738,50,5.32666,8.13375,-103.10196,0.7507,0.03027,17.69769,-31.82486,6a89a404-7904-4389-bf73-0ad2c6af513f,1ba7cfda-704c-4a99-b2db-42590f79c0dc,68.61875,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,a6d4f838-fc10-4553-8801-3f80093031b2,812b95f8-0936-47e4-9968-6b91dd79e813
6,2026-09-21,19:11:05.62,"Rodriguez, John",1000616296,Right,,,,,,ChangeUp,Warmup,,76.89837,0.3628583996,-3.442729178,1710.231784,261.6490337,2:45,5.46181,2.80163,5.44083,-46.27007,1.85367,12.9579,1.94631,0.65444,70.48187,-8.229301137,-1.024005596,0.4992879373,-7.86607,0.88061,-2.50617,50,5.46242,6.3259,-111.64891,-0.68721,-9.9026,20.60096,-31.06545,f9bb09ef-e48b-4203-940b-e745e6fbd302,1ba7cfda-704c-4a99-b2db-42590f79c0dc,75.49239,Pitching,25410021,,,,,,,,,,,,,,,,,,,,20.24016162,1604.626262,0.9382507546,,84200796-211e-45fe-9b26-7f88313e165c,812b95f8-0936-47e4-9968-6b91dd79e813
7,2026-09-21,19:11:13.79,"Rodriguez, John",1000616296,Right,,,,,,,Warmup,,71.00598,2.943923306,-2.197752708,1892.814713,72.17029357,8:30,5.32736,2.79356,4.78221,-58.73266,-1.01903,-3.03544,3.22748,0.45675,65.24365,-7.825887211,-2.756563385,0.5467774585,0.97044,-1.33663,-2.57159,50,5.57158,4.0461,-102.99445,3.49145,1.04377,16.89605,-33.61168,41f50550-ea1f-4239-b5c9-8709d17c0f80,1ba7cfda-704c-4a99-b2db-42590f79c0dc,68.93561,Pitching,25410021,,,,,,,,,,,,,,,,,,,,70.42325747,634.2238034,0.3350691427,,223e32d0-7f13-499c-a5fe-059b95ac7f4e,812b95f8-0936-47e4-9968-6b91dd79e813
8,2026-09-21,19:11:23.51,"Rodriguez, John",1000616296,Right,,,,,,,Warmup,,70.25016,2.228811826,-4.271867787,1927.592794,120.178107,10:00,5.30447,2.82943,4.82988,-58.16001,1.27891,-2.27783,2.57517,-1.41284,64.23252,-8.450511066,-4.691371611,0.5548899756,-0.08249,0.00308,-2.40409,50,5.47727,7.6643,-101.68992,2.2222,-0.08583,17.65553,-32.17084,2f2459da-43f3-4fd8-8422-fcc9aac82c41,1ba7cfda-704c-4a99-b2db-42590f79c0dc,67.92777,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,787e0c9d-571b-40cb-8cd4-695c6092d501,812b95f8-0936-47e4-9968-6b91dd79e813
9,2026-09-21,19:11:32.67,"Rodriguez, John",1000616296,Right,,,,,,,Warmup,,83.02339,1.460065312,-5.369381646,2038.331761,234.8425735,1:45,5.44542,2.59327,5.53052,-33.03746,8.31312,11.94115,4.06326,-1.44488,75.51763,-4.699999911,-3.146645417,0.4628201102,-7.88627,4.01257,-2.13418,50,5.55083,10.9167,-120.21788,2.01964,-11.51967,23.71038,-26.31278,d6041466-4f30-4ec8-bc2f-921ff9cc42b5,1ba7cfda-704c-4a99-b2db-42590f79c0dc,81.4408,Pitching,25410021,,,,,,,,,,,,,,,,,,,,27.4543096,1808.772334,0.8873787716,,594550dd-44f1-4864-9e63-573eb42b37e7,812b95f8-0936-47e4-9968-6b91dd79e813
10,2026-09-21,19:11:37.95,"Rodriguez, John",1000616296,Right,,,,,,,Warmup,,48.80383,4.020307173,10.06990866,1422.585476,136.4507133,10:30,7.23433,0.27266,,-36.33223,60.4141,-58.96023,7.44643,3.41923,39.68155,-4.35474522,-3.551895587,0.7079272912,50.70627,42.06404,0.31516,50,6.99376,-13.51192,-71.09376,5.62126,22.71411,17.49153,-13.33127,97d40df0-cac6-41ac-8bfb-f81c41d9fcae,1ba7cfda-704c-4a99-b2db-42590f79c0dc,,Pitching,25410021,,,,,,,,,,,,,,,,,,,,,,,,68c5c42b-9dca-45fc-aeb7-66997e396ce4,812b95f8-0936-47e4-9968-6b91dd79e813
