PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,PitchCall,Balls,Strikes,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PitchUID,SessionId
1,2026-09-12,10:02:04.20,"Hoggat, Kyle",1000514767,Right,,,,,,,Live,,74.27348,1.421973364,-3.30736637,1886.247478,224.7028826,1:30,6.06265,1.26313,2.68848,-41.32902,16.04953,15.97563,4.02077,-0.66447,67.28819,-5.928777787,-0.4603014036,0.5451878395,-8.68099,7.33744,-0.83521,50,6.19627,5.5541,-107.31868,0.99283,-10.07753,19.37166,-23.65622,f118b8a0-051a-4d32-ae4c-f5ce1aa81320,8fde9ccc-fc30-424c-ae80-435b2342cd75,69.13661,Pitching,25410021,,,,,,,,,,,,,,,,,,,,29.13353755,1647.613408,0.8734874015,,f9f1e340-2bd4-4157-ba7c-dfde033c20c6,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
2,2026-09-12,10:02:48.82,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,82.41374,0.04453999128,-4.699219893,1990.067335,215.5598775,1:15,5.57331,3.25365,5.90171,-25.89051,15.4865,11.13345,3.45725,-0.19005,74.84459,-4.826071145,-2.606382505,0.4629679629,-7.39606,8.35337,-2.88212,50,5.56212,9.49474,-119.54044,-0.67796,-10.6453,24.18608,-20.15088,a25abf30-0db8-4e61-8d11-ca8b62af9791,8fde9ccc-fc30-424c-ae80-435b2342cd75,81.41479,Pitching,25410021,,,,,,,,,,,,,,,,,,,,25.18705029,1800.858224,0.9049232619,,953b79be-d52a-4982-88c1-04d996422b81,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
3,2026-09-12,10:03:08.88,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,81.81765,-1.676804399,-4.747285958,1944.96149,223.4724359,1:30,5.49365,3.19152,5.77912,-26.24067,15.90862,15.12619,1.74116,0.02545,74.5865,-6.587691864,-1.911292935,0.4672685001,-9.49952,9.03634,-2.80865,50,5.33927,9.39237,-118.6094,-4.27806,-13.48811,23.3817,-19.3436,3d18b62a-2285-4135-b323-7a41497e8faf,8fde9ccc-fc30-424c-ae80-435b2342cd75,80.66548,Pitching,25410021,,,,,,,,,,,,,,,,,,,,23.83178803,1779.125589,0.9147356378,,aed90096-483b-449e-a0c0-d9dfca7316c3,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
4,2026-09-12,10:03:24.56,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,81.70504,-3.086821742,-4.703144099,2007.096693,223.3920898,1:30,5.61146,3.084,5.89865,-26.03422,15.93627,15.06504,0.56421,-0.03599,74.9837,-7.942408106,-1.878929694,0.4662763992,-9.41474,9.44294,-2.71421,50,5.3476,9.29323,-118.39407,-7.17886,-13.38272,22.29297,-18.75124,2236e1c1-9e0e-42b4-bef8-a3c63a728386,8fde9ccc-fc30-424c-ae80-435b2342cd75,80.83712,Pitching,25410021,,,,,,,,,,,,,,,,,,,,30.32690294,1732.442685,0.863158557,,fa4be0b3-6ea0-4cda-95a1-2fd228cf2676,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
5,2026-09-12,10:03:41.83,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,82.8473,-1.569180497,-5.415516683,2111.282798,222.7162828,1:30,5.48718,3.22177,5.81258,-23.42042,17.33347,16.06272,2.06966,-0.48967,76.12561,-5.936989507,-2.421436514,0.4594686541,-10.0226,9.71209,-2.78711,50,5.34425,10.89034,-120.0777,-4.02323,-14.7379,21.69627,-17.89275,f76a9de6-8fbc-4a54-8f7c-0c7ab9e3f8ad,8fde9ccc-fc30-424c-ae80-435b2342cd75,82.03484,Pitching,25410021,,,,,,,,,,,,,,,,,,,217.9285877,25.81000489,1900.66705,0.9002427584,1:15,21d591a9-1053-4f44-9db6-f2043090d177,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
6,2026-09-12,10:03:56.79,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,84.66756,-2.169475271,-5.422503945,2073.730922,222.2058889,1:30,5.569,3.06832,5.88035,-23.17193,16.00476,14.55234,1.61353,-0.76911,77.39738,-6.504837865,-2.698658196,0.4504900816,-9.34875,9.23059,-2.63834,50,5.37986,11.19199,-122.6288,-5.38044,-14.24257,24.13917,-18.1115,8e4b279b-a6cf-4ce8-be81-b35d0662690d,8fde9ccc-fc30-424c-ae80-435b2342cd75,83.66985,Pitching,25410021,,,,,,,,,,,,,,,,,,,,28.64992651,1819.834752,0.8775655187,,8e4bdc18-bab4-4e57-8c01-56852500f59f,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
7,2026-09-12,10:04:47.01,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,83.66489,-0.01587614467,-3.372379547,2023.970045,213.0603787,1:00,5.87507,3.14407,5.63237,-25.00899,15.59572,10.19094,3.77615,0.84367,75.68242,-4.712334553,-1.457246683,0.458627009,-6.49301,8.35884,-2.86373,50,5.85795,6.83515,-121.46011,-0.82429,-9.60479,25.9603,-19.80923,60f374af-d7cf-425d-aa59-cf35b1b6213a,8fde9ccc-fc30-424c-ae80-435b2342cd75,82.18539,Pitching,25410021,,,,,,,,,,,,,,,,,,,206.2321382,26.81557865,1806.318768,0.8924631924,12:45,95944367-aa06-41f7-b9ec-aa53b558b798,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
8,2026-09-12,10:05:07.57,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,83.28896,0.1161733083,-4.123579873,2040.485507,227.3616091,1:30,5.64956,3.24291,5.71911,-26.72047,13.74533,15.00569,3.53133,0.64621,76.15926,-4.879249922,-1.317610848,0.4578418484,-9.161,7.33218,-2.90758,50,5.64281,8.24869,-120.93103,-0.5907,-13.59605,23.09662,-21.29219,a94086f4-e0ae-4ea1-9ef1-f610e0d1e4b0,8fde9ccc-fc30-424c-ae80-435b2342cd75,82.32633,Pitching,25410021,,,,,,,,,,,,,,,,,,,,26.73592151,1822.336208,0.8930895129,,b8a17b82-0ba2-4f8c-a6a1-f30c8ddaab98,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
9,2026-09-12,10:05:42.71,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,85.29153,-1.776000944,-5.456780323,2027.64335,225.5264585,1:30,5.73876,2.97259,5.75104,-24.58328,14.04348,14.35184,2.02899,-0.92601,78.28724,-6.355227632,-2.783136689,0.4473171213,-9.13304,7.99664,-2.52782,50,5.57587,11.34672,-123.56988,-4.63285,-14.19377,23.44294,-19.74637,9539dcab-be79-4ff9-a0af-eeb0f29f4453,8fde9ccc-fc30-424c-ae80-435b2342cd75,84.26335,Pitching,25410021,,,,,,,,,,,,,,,,,,,,23.8490641,1854.510517,0.9146137645,,918e9e08-94d0-41de-85d6-350f87766b2f,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
10,2026-09-12,10:05:59.33,"Hoggat, Kyle",1000514767,Right,,,,,,Fastball,Live,,85.11926,-1.938250238,-4.083313846,2048.089506,219.4126629,1:15,5.75531,3.01723,5.6557,-22.42765,16.77585,13.81274,2.0737,0.35428,77.28105,-6.136783622,-1.491799942,0.4506442129,-8.61974,9.56712,-2.68015,50,5.57695,8.36852,-123.43046,-4.90695,-13.20461,26.17496,-17.51816,4d55b2a9-a0ed-4487-8328-c9c6bce1d93c,8fde9ccc-fc30-424c-ae80-435b2342cd75,83.64124,Pitching,25410021,,,,,,,,,,,,,,,,,,,212.349134,30.64627615,1762.03409,0.8603306082,1:00,8f7ade2d-a1d2-429a-9c4e-20f75ee89dde,8a567c57-bea7-4cd5-b1d0-7b7d79bceabf
